Collection Name,Movies,Year,Style,Movie Type
The Equalizer,,,,
,The Equalizer,2014,Live-Action,Original
,The Equalizer 2,2018,Live-Action,Sequel
Ernest,,,,
,Ernest Goes to Camp,1987,Live-Action,Original
,Ernest Saves Christmas,1988,Live-Action,Sequel
,Ernest Goes to Jail,1990,Live-Action,Sequel
,Ernest Scared Stupid,1991,Live-Action,Sequel
,Ernest Rides Again,1993,Live-Action,Sequel
,Ernest Goes to School,1994,Live-Action,Sequel
,Slam Dunk Ernest,1995,Live-Action,Sequel
,Ernest Goes to Africa,1997,Live-Action,Sequel
,Ernest in the Army,1998,Live-Action,Sequel
Escape Plan,,,,
,Escape Plan,2013,Live-Action,Original
,Escape Plan 2: Hades,2018,Live-Action,Sequel
,Escape Plan: The Extractors,2019,Live-Action,Sequel
Escape from...,,,,
,Escape from New York,1981,Live-Action,Original
,Escape from L.A.,1996,Live-Action,Sequel
Evil Dead,,,,
,The Evil Dead,1981,Live-Action,Original
,Evil Dead II,1987,Live-Action,Sequel
,Army of Darkness,1992,Live-Action,Sequel
,Evil Dead,2013,Live-Action,Remake
The Expendables,,,,
,The Expendables,2010,Live-Action,Original
,The Expendables 2,2012,Live-Action,Sequel
,The Expendables 3,2014,Live-Action,Sequel
F,,,,
Fantastic Beasts,,,,
,Fantastic Beasts and Where To Find Them,2016,Live-Action,Original
,Fantastic Beasts: The Crimes of Grindelwald,2018,Live-Action,Sequel
Fantastic Four,,,,
,The Fantastic Four,1994,Live-Action,Original
,Fantastic Four,2005,Live-Action,Original
,Fantastic Four: Rise of the Silver Surfer,2007,Live-Action,Sequel
,Fantastic Four,2015,Live-Action,Remake
The Fast and the Furious,,,,
,The Fast and the Furious,2001,Live-Action,Original
,2 Fast 2 Furious,2003,Live-Action,Sequel
,The Fast and the Furious: Tokyo Drift,2006,Live-Action,Sequel
,Fast & Furious,2009,Live-Action,Sequel
,Fast Five,2011,Live-Action,Sequel
,Fast & Furious 6,2013,Live-Action,Sequel
,Furious 7,2015,Live-Action,Sequel
,The Fate of the Furious,2017,Live-Action,Sequel
,Fast & Furious Presents: Hobbs & Shaw,2019,Live-Action,Spin-Off
Father of the Bride,,,,
,Father of the Bride,1991,Live-Action,Original
,Father of the Bride II,1995,Live-Action,Sequel
Fifty Shades,,,,
,Fifty Shades of Grey,2015,Live-Action,Original
,Fifty Shades Darker,2017,Live-Action,Sequel
,Fifty Shades Freed,2018,Live-Action,Sequel
Final Destination,,,,
,Final Destination,2000,Live-Action,Original
